"","DF$name","Sieges","V1","Name1","Nat1","SiegeOb1","Perc1","V2","Name2","Nat2","SiegeOb2","Perc2","V3","Name3","Nat3","SiegeOb3","Perc3","V4","Name4","Nat4","SiegeOb4","Perc4","V5","Name5","Nat5","SiegeOb5","Perc5","V6","Name6","Nat6","SiegeOb6","Perc6","V7","Name7","Nat7","SiegeOb7","Perc7","V8","Name8","Nat8","SiegeOb8","Perc8","V9","Name9","Nat9","SiegeOb9","Perc9","V10","Name10","Nat10","SiegeOb10","Perc10","V11","Name11","Nat11","SiegeOb11","Perc11","V12","Name12","Nat12","SiegeOb12","Perc12","V13","Name13","Nat13","SiegeOb13","Perc13","V14","Name14","Nat14","SiegeOb14","Perc14","V15","Name15","Nat15","SiegeOb15","Perc15"
"168","عين الصبح الناظور",18,927,"Al'Iiqlaa","Liste indépendante",6,"4.68%",671,"Albina W Altaasys","Liste indépendante",4,"31.67%",454,"Alnajat","Liste indépendante",3,"22.92%",364,"Ennahdha","Liste partisane",2,"15.51%",208,"AL IRADA","Liste partisane",1,"7.11%",166,"Nidaa Tounes","Liste partisane",1,"12.44%",137,"Front Populaire","Liste de coalition",1,"5.67%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","بلطة بوعوان",24,1363,"Nidaa Tounes","Liste partisane",12,"6.70%",963,"Ennahdha","Liste partisane",8,"8.56%",235,"Qayimat 'Amal ...Nahwa Ghad 'Afdhal","Liste indépendante",2,"35.08%",184,"Front Populaire","Liste de coalition",2,"49.65%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","الخمايرية",18,1449,"Nidaa Tounes","Liste partisane",13,"27.11%",539,"Ennahdha","Liste partisane",5,"72.89%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","بني مطير",12,401,"Nidaa Tounes","Liste partisane",4,"10.25%",377,"Ennahdha","Liste partisane",4,"21.63%",247,"Haqouna","Liste indépendante",3,"33.01%",117,"Amal","Liste indépendante",1,"35.11%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","القلعة المعدن فرقصان",18,445,"Alsonboula","Liste indépendante",5,"14.55%",329,"Ennahdha","Liste partisane",4,"20.66%",308,"Alaamal","Liste indépendante",4,"29.85%",217,"Front Populaire","Liste de coalition",3,"22.07%",192,"Nidaa Tounes","Liste partisane",2,"12.88%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","الجواودة",18,685,"Ennahdha","Liste partisane",8,"14.63%",610,"Nidaa Tounes","Liste partisane",7,"45.15%",222,"Alshuruq","Liste indépendante",3,"40.21%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","‫فرنانة‬",24,1317,"Ennahdha","Liste partisane",11,"22.68%",885,"Nidaa Tounes","Liste partisane",8,"46.24%",646,"Maeaan","Liste indépendante",5,"31.07%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","غار الدماء",30,1737,"Ennahdha","Liste partisane",9,"7.48%",1471,"Nidaa Tounes","Liste partisane",8,"9.15%",1327,"Mustaqbal Biladi","Liste indépendante",7,"22.61%",537,"Ghar Aldima Ghoudwa Khyr","Liste indépendante",3,"3.20%",439,"Front Populaire","Liste de coalition",2,"29.60%",188,"AL IRADA","Liste partisane",1,"25.06%",170,"Parti Destourien Libre Pdl","Liste partisane",0,"2.90%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","واد مليز",18,1705,"Nidaa Tounes","Liste partisane",10,"9.66%",940,"Ennahdha","Liste partisane",5,"7.63%",309,"Front Populaire","Liste de coalition",2,"29.39%",244,"Altanmiya","Liste indépendante",1,"53.31%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","الدهماني",24,1354,"Ennahdha","Liste partisane",8,"13.65%",1352,"Nidaa Tounes","Liste partisane",8,"6.79%",565,"Front Populaire","Liste de coalition",3,"32.72%",372,"Parti Destourien Libre Pdl","Liste partisane",2,"32.67%",281,"Al'Iislah W Altajdiid","Liste indépendante",2,"5.17%",214,"Parti De L'Avenir","Liste partisane",1,"8.99%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","القصور",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","الجريصة",12,899,"Nidaa Tounes","Liste partisane",6,"9.60%",392,"Ennahdha","Liste partisane",3,"11.03%",208,"Al'Asala","Liste indépendante",1,"10.92%",206,"Almanajim","Liste indépendante",1,"20.78%",181,"Front Populaire","Liste de coalition",1,"47.67%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","قلعة سنان",18,766,"Ennahdha","Liste partisane",5,"5.21%",656,"Nidaa Tounes","Liste partisane",4,"11.07%",510,"Parti Destourien Libre Pdl","Liste partisane",3,"27.88%",368,"Machrouu Tounes","Liste partisane",3,"13.40%",304,"Al'Amal W Albina'","Liste indépendante",2,"23.88%",143,"Front Populaire","Liste de coalition",1,"18.57%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","القلعة الخصباء",12,553,"Alnnouhoudh Bialqlaa Alkhsba","Liste indépendante",3,"26.99%",369,"Ennahdha","Liste partisane",2,"10.40%",363,"Asala","Liste indépendante",2,"3.86%",236,"Courant Démocrate","Liste partisane",2,"17.72%",236,"Nidaa Tounes","Liste partisane",2,"11.52%",213,"Alnour","Liste indépendante",1,"18.01%",79,"Alqayimat Almustaqila Alwifaq","Liste indépendante",1,"11.52%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","منزل سالم",12,216,"Ennahdha","Liste partisane",5,"20.36%",187,"Nidaa Tounes","Liste partisane",4,"42.69%",103,"Mashrou' Tunis Alghad","Liste indépendante",3,"36.96%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","تاجروين",24,5522,"Ufuq Tajrouine","Liste indépendante",143,"2.83%",1438,"Ennahdha","Liste partisane",4,"13.30%",1318,"Tajrouine Biladi","Liste indépendante",3,"55.73%",1023,"Nidaa Tounes","Liste partisane",2,"14.51%",328,"Parti Destourien Libre Pdl","Liste partisane",1,"10.32%",280,"Alshabab Nahw Alriyada","Liste indépendante",0,"3.31%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","الزعفران",18,557,"Nidaa Tounes","Liste partisane",7,"32.44%",435,"Alborj","Liste indépendante",6,"26.03%",349,"Ennahdha","Liste partisane",5,"41.54%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","المرجى",12,466,"Nidaa Tounes","Liste partisane",7,"41.46%",330,"Ennahdha","Liste partisane",5,"58.54%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","السرس",18,1212,"Nidaa Tounes","Liste partisane",8,"35.23%",1026,"Al'Amal","Liste indépendante",6,"23.15%",674,"Ennahdha","Liste partisane",4,"41.62%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","ساقية سيدي يوسف",18,968,"Ennahdha","Liste partisane",7,"26.51%",776,"Nidaa Tounes","Liste partisane",6,"40.79%",629,"Qayimat Alwafa' Lilshuhadaa'","Liste indépendante",5,"32.70%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","الكاف",30,2889,"Nidaa Tounes","Liste partisane",9,"13.83%",2014,"Alkaf Ghudwa","Liste indépendante",6,"5.23%",1477,"Ennahdha","Liste partisane",5,"20.24%",1376,"Front Populaire","Liste de coalition",4,"4.76%",734,"Almustaqiloun Al'Ahrar","Liste indépendante",2,"7.38%",520,"Afaq Almashrou' Alwatanii","Liste indépendante",2,"14.85%",474,"Alkaf Younadykom","Liste indépendante",1,"29.04%",465,"Parti Socialiste","Liste partisane",1,"4.67%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","نبر",18,928,"Nbr Tajamaouna","Liste indépendante",6,"4.24%",677,"Nidaa Tounes","Liste partisane",4,"13.92%",590,"Ennahdha","Liste partisane",4,"33.89%",381,"Nbr Almustaqbal","Liste indépendante",3,"21.55%",116,"Front Populaire","Liste de coalition",1,"1.68%",46,"Machrouu Tounes","Liste partisane",0,"24.73%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","الطويرف",12,658,"Nidaa Tounes","Liste partisane",7,"11.79%",397,"Ennahdha","Liste partisane",4,"33.19%",141,"Al'Iintsar Liltwyrif Awlan","Liste indépendante",1,"55.02%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","بهرة",12,416,"Nidaa Tounes","Liste partisane",5,"31.82%",337,"Al'Iirada","Liste indépendante",4,"25.12%",266,"Ennahdha","Liste partisane",3,"3.78%",40,"Machrouu Tounes","Liste partisane",0,"39.28%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","نفزة",24,1460,"Ennahdha","Liste partisane",6,"5.26%",1116,"Nefza Almustaqbal","Liste indépendante",5,"6.84%",1006,"Nidaa Tounes","Liste partisane",5,"2.63%",771,"Mouvement Du Peuple","Liste partisane",3,"19.19%",512,"Nefza Fi Inina","Liste indépendante",2,"8.80%",398,"Al Toumouh","Liste indépendante",2,"25.10%",306,"Front Populaire","Liste de coalition",1,"13.26%",153,"Alamal","Liste indépendante",0,"17.30%",94,"Parti Destourien Libre Pdl","Liste partisane",0,"1.62%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","مجاز الباب",24,1624,"Nidaa Tounes","Liste partisane",7,"8.12%",1603,"Ennahdha","Liste partisane",7,"2.52%",1557,"Altahadi","Liste indépendante",6,"3.67%",489,"Al Amal Lighad 'Afdhal","Liste indépendante",2,"25.85%",378,"Machrouu Tounes","Liste partisane",1,"26.61%",221,"Almustaqbal Almushriq","Liste indépendante",1,"6.27%",152,"Al'Amana W Al Shafafeya","Liste indépendante",0,"26.96%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","السلوقية",12,562,"Mouvement Du Peuple","Liste partisane",5,"4.52%",358,"Ennahdha","Liste partisane",3,"3.26%",174,"Nidaa Tounes","Liste partisane",2,"11.25%",152,"Natahid","Liste indépendante",1,"26.50%",61,"Front Populaire","Liste de coalition",1,"41.60%",44,"Al Suluqya Maan","Liste indépendante",0,"12.88%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","تبرسق",18,989,"Nidaa Tounes","Liste partisane",6,"13.88%",743,"Qayimat Shabab Almustaqbal","Liste indépendante",4,"24.68%",628,"Ennahdha","Liste partisane",4,"7.74%",418,"Front Populaire","Liste de coalition",3,"20.86%",233,"Courant Démocrate","Liste partisane",1,"32.85%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","تيبار",18,647,"Nidaa Tounes","Liste partisane",9,"11.75%",517,"Ennahdha","Liste partisane",7,"39.20%",155,"Front Populaire","Liste de coalition",2,"49.05%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","سيدي إسماعيل",12,527,"Amana","Liste indépendante",5,"14.79%",246,"Ennahdha","Liste partisane",2,"8.24%",201,"Almustaqbal","Liste indépendante",2,"38.78%",171,"Nidaa Tounes","Liste partisane",1,"7.51%",112,"Alshabab Almustaqil","Liste indépendante",1,"18.10%",102,"Kouwka Alghad","Liste indépendante",1,"12.58%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","تستور",24,1183,"Nidaa Tounes","Liste partisane",6,"23.41%",1119,"Ennahdha","Liste partisane",6,"9.47%",1100,"Front Populaire","Liste de coalition",6,"14.60%",686,"Zahrat Al Sod","Liste indépendante",3,"23.82%",445,"Shabab Tastour","Liste indépendante",2,"3.51%",165,"Machrouu Tounes","Liste partisane",1,"25.18%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","المعقولة",18,696,"Ennahdha","Liste partisane",7,"11.96%",631,"Nidaa Tounes","Liste partisane",6,"36.83%",226,"Al'Amal","Liste indépendante",2,"7.83%",189,"Parti Destourien Libre Pdl","Liste partisane",2,"33.39%",148,"Machrouu Tounes","Liste partisane",1,"10.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","زهرة مدين",18,929,"Nidaa Tounes","Liste partisane",6,"7.09%",623,"Ennahdha","Liste partisane",4,"8.49%",432,"Qayimat Altasys","Liste indépendante",3,"14.66%",387,"Machrouu Tounes","Liste partisane",2,"3.94%",250,"Almustaqbal","Liste indépendante",1,"21.15%",209,"Front Populaire","Liste de coalition",1,"13.14%",116,"Beni Watani","Liste partisane",1,"31.53%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","باجة",30,2815,"Ennahdha","Liste partisane",8,"9.59%",2035,"Nidaa Tounes","Liste partisane",6,"2.61%",1903,"Parti Destourien Libre Pdl","Liste partisane",6,"6.79%",1006,"Front Populaire","Liste de coalition",3,"3.03%",712,"Al'Anwar","Liste indépendante",2,"2.51%",670,"Courant Démocrate","Liste partisane",2,"6.39%",493,"Mouvement Du Peuple","Liste partisane",2,"26.84%",318,"Alghazala","Liste indépendante",1,"4.70%",274,"Union Civile","Liste de coalition",0,"19.40%",263,"Beni Watani","Liste partisane",0,"18.14%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","وشتاتة",18,1207,"Ennahdha","Liste partisane",6,"13.67%",935,"Mouvement Du Peuple","Liste partisane",4,"6.70%",758,"Nidaa Tounes","Liste partisane",4,"31.86%",518,"Al'Iintisar","Liste indépendante",2,"24.68%",254,"Al'Iirada W Altahadi","Liste indépendante",1,"20.01%",117,"Parti Destourien Libre Pdl","Liste partisane",1,"3.09%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","قبلاط",18,432,"Nidaa Tounes","Liste partisane",6,"18.72%",279,"Ennahdha","Liste partisane",4,"9.28%",242,"Qubilat Aljadyda","Liste indépendante",3,"21.58%",220,"Machrouu Tounes","Liste partisane",3,"17.01%",120,"AL IRADA","Liste partisane",2,"33.41%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","الحشاشنة",18,588,"Ennahdha","Liste partisane",5,"17.01%",487,"Nidaa Tounes","Liste partisane",4,"7.05%",369,"Alnajah","Liste indépendante",3,"10.19%",286,"Ajyal","Liste partisane",3,"3.00%",221,"Maan Nabani Alhashashina","Liste indépendante",2,"13.19%",153,"Badyl Alhashashina","Liste indépendante",1,"27.11%",65,"Afek Tounes","Liste partisane",0,"22.45%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","سجنان",18,1266,"Nidaa Tounes","Liste partisane",6,"11.59%",1103,"Ennahdha","Liste partisane",5,"4.78%",697,"Afek Tounes","Liste partisane",3,"17.52%",461,"Front Populaire","Liste de coalition",2,"27.73%",261,"Parti Destourien Libre Pdl","Liste partisane",1,"31.83%",190,"Bidyl Sujnan","Liste indépendante",1,"6.56%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","غزالة",24,637,"Nidaa Tounes","Liste partisane",8,"19.60%",538,"Ennahdha","Liste partisane",6,"27.46%",400,"Machrouu Tounes","Liste partisane",5,"20.42%",384,"Afek Tounes","Liste partisane",5,"32.52%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","جومين",24,1162,"Nidaa Tounes","Liste partisane",7,"1.59%",794,"Altahadi Al Tanmaoui","Liste indépendante",4,"8.00%",592,"Ennahdha","Liste partisane",3,"1.61%",536,"Jumin 'Iilaa Al'Amam","Liste indépendante",3,"17.31%",367,"Al Aamal","Liste indépendante",2,"7.37%",367,"Parti Destourien Libre Pdl","Liste partisane",2,"11.69%",338,"Ghodwa Khir","Liste indépendante",2,"12.91%",195,"Sawt Ettounsi","Liste partisane",1,"1.94%",89,"Machrouu Tounes","Liste partisane",0,"25.33%",74,"Alsumud W Al'Iirada","Liste indépendante",0,"8.00%",73,"Front Populaire","Liste de coalition",0,"4.25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","ماطر",24,1954,"Nidaa Tounes","Liste partisane",10,"7.29%",1373,"Ennahdha","Liste partisane",7,"14.66%",710,"Altahadi","Liste indépendante",3,"28.34%",454,"Machrouu Tounes","Liste partisane",2,"9.37%",353,"Front Populaire","Liste de coalition",2,"40.34%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","أوتيك",18,764,"Utic","Liste indépendante",5,"23.28%",713,"Nidaa Tounes","Liste partisane",4,"26.08%",682,"Al'Iinjaz","Liste indépendante",4,"18.57%",544,"Ennahdha","Liste partisane",3,"7.75%",227,"Machrouu Tounes","Liste partisane",2,"24.33%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","بنزرت",36,6872,"Ennahdha","Liste partisane",16,"4.40%",3320,"Union Civile","Liste de coalition",8,"7.16%",3223,"Nidaa Tounes","Liste partisane",0,"17.51%",1358,"Front Populaire","Liste de coalition",3,"6.33%",1201,"Ahna Benzart","Liste indépendante",3,"2.73%",846,"Sawt Ettounsi","Liste partisane",2,"4.17%",835,"Alliance Des Forces Démocratiques","Liste de coalition",2,"36.24%",791,"Beni Watani","Liste partisane",2,"17.00%",517,"Benzart Alghad","Liste indépendante",0,"4.46%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","منزل بورقيبة",30,2835,"Ennahdha","Liste partisane",11,"4.34%",1445,"Nidaa Tounes","Liste partisane",6,"12.74%",968,"Altahadi","Liste indépendante",4,"3.30%",759,"Ghadwa Khyr","Liste indépendante",3,"9.99%",657,"Qayimat Linartaqi","Liste indépendante",3,"8.65%",354,"Beni Watani","Liste partisane",1,"4.66%",330,"Union Civile","Liste de coalition",1,"37.31%",251,"Awlad Bilad","Liste indépendante",1,"19.02%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
